2012-02-20 01:15:57	0.0.0.0	login server	100	login server started
2012-02-20 01:16:01	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:16:11	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:16:21	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:16:31	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:16:41	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:16:51	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:17:01	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
2012-02-20 01:17:11	127.0.0.1	s1	100	charserver - MyWay@127.0.0.1:6121
